draw_type,draw_date,draw_number,digits,source,number
evening,2026-02-06,2624.0,"(0, 7, 7)",Jan 24 to Feb 06.xlsx,0-7-7
evening,2026-02-05,2622.0,"(1, 1, 4)",Jan 24 to Feb 06.xlsx,1-1-4
evening,2026-02-04,2620.0,"(2, 4, 7)",Jan 24 to Feb 06.xlsx,2-4-7
evening,2026-02-03,2618.0,"(2, 4, 0)",Jan 24 to Feb 06.xlsx,2-4-0
evening,2026-02-02,2616.0,"(0, 3, 4)",Jan 24 to Feb 06.xlsx,0-3-4
evening,2026-02-01,2614.0,"(6, 4, 1)",Jan 24 to Feb 06.xlsx,6-4-1
evening,2026-01-31,2612.0,"(8, 9, 0)",Jan 24 to Feb 06.xlsx,8-9-0
evening,2026-01-30,2610.0,"(2, 3, 2)",Jan 24 to Feb 06.xlsx,2-3-2
evening,2026-01-29,2608.0,"(9, 8, 6)",Jan 24 to Feb 06.xlsx,9-8-6
evening,2026-01-28,2606.0,"(1, 1, 6)",Jan 24 to Feb 06.xlsx,1-1-6
evening,2026-01-27,2604.0,"(7, 8, 9)",Jan 24 to Feb 06.xlsx,7-8-9
evening,2026-01-26,2602.0,"(2, 8, 3)",Jan 24 to Feb 06.xlsx,2-8-3
evening,2026-01-25,2600.0,"(4, 0, 9)",Jan 24 to Feb 06.xlsx,4-0-9
evening,2026-01-24,2598.0,"(5, 2, 2)",Jan 24 to Feb 06.xlsx,5-2-2
evening,2026-01-23,2596.0,"(9, 6, 5)",1 year of data 2025 - 2026.xlsx,9-6-5
evening,2026-01-22,2594.0,"(5, 6, 7)",1 year of data 2025 - 2026.xlsx,5-6-7
evening,2026-01-21,2592.0,"(1, 6, 5)",1 year of data 2025 - 2026.xlsx,1-6-5
evening,2026-01-20,2590.0,"(5, 9, 6)",1 year of data 2025 - 2026.xlsx,5-9-6
evening,2026-01-19,2588.0,"(5, 5, 9)",1 year of data 2025 - 2026.xlsx,5-5-9
evening,2026-01-18,2586.0,"(2, 3, 7)",1 year of data 2025 - 2026.xlsx,2-3-7
evening,2026-01-17,2584.0,"(8, 7, 2)",1 year of data 2025 - 2026.xlsx,8-7-2
evening,2026-01-16,2582.0,"(1, 3, 8)",1 year of data 2025 - 2026.xlsx,1-3-8
evening,2026-01-15,2580.0,"(2, 5, 4)",1 year of data 2025 - 2026.xlsx,2-5-4
evening,2026-01-14,2578.0,"(0, 6, 7)",1 year of data 2025 - 2026.xlsx,0-6-7
evening,2026-01-13,2576.0,"(8, 1, 0)",1 year of data 2025 - 2026.xlsx,8-1-0
evening,2026-01-12,2574.0,"(4, 7, 5)",1 year of data 2025 - 2026.xlsx,4-7-5
evening,2026-01-11,2572.0,"(3, 7, 3)",1 year of data 2025 - 2026.xlsx,3-7-3
evening,2026-01-10,2570.0,"(1, 5, 7)",1 year of data 2025 - 2026.xlsx,1-5-7
evening,2026-01-09,2568.0,"(2, 4, 9)",1 year of data 2025 - 2026.xlsx,2-4-9
evening,2026-01-08,2566.0,"(6, 1, 0)",1 year of data 2025 - 2026.xlsx,6-1-0
evening,2026-01-07,2564.0,"(2, 2, 9)",1 year of data 2025 - 2026.xlsx,2-2-9
evening,2026-01-06,2562.0,"(1, 8, 9)",1 year of data 2025 - 2026.xlsx,1-8-9
evening,2026-01-05,2560.0,"(9, 3, 0)",1 year of data 2025 - 2026.xlsx,9-3-0
evening,2026-01-04,2558.0,"(9, 6, 9)",1 year of data 2025 - 2026.xlsx,9-6-9
evening,2026-01-03,2556.0,"(8, 8, 2)",1 year of data 2025 - 2026.xlsx,8-8-2
evening,2026-01-02,2554.0,"(0, 7, 8)",1 year of data 2025 - 2026.xlsx,0-7-8
evening,2026-01-01,2552.0,"(5, 1, 6)",1 year of data 2025 - 2026.xlsx,5-1-6
evening,2025-12-31,2550.0,"(7, 5, 3)",1 year of data 2025 - 2026.xlsx,7-5-3
evening,2025-12-30,2548.0,"(3, 7, 3)",1 year of data 2025 - 2026.xlsx,3-7-3
evening,2025-12-29,2546.0,"(9, 3, 7)",1 year of data 2025 - 2026.xlsx,9-3-7
evening,2025-12-28,2544.0,"(4, 5, 7)",1 year of data 2025 - 2026.xlsx,4-5-7
evening,2025-12-27,2542.0,"(9, 8, 4)",1 year of data 2025 - 2026.xlsx,9-8-4
evening,2025-12-26,2540.0,"(4, 9, 7)",1 year of data 2025 - 2026.xlsx,4-9-7
evening,2025-12-25,2538.0,"(6, 8, 2)",1 year of data 2025 - 2026.xlsx,6-8-2
evening,2025-12-24,2536.0,"(3, 8, 9)",1 year of data 2025 - 2026.xlsx,3-8-9
evening,2025-12-23,2534.0,"(2, 9, 1)",1 year of data 2025 - 2026.xlsx,2-9-1
evening,2025-12-22,2532.0,"(5, 3, 4)",1 year of data 2025 - 2026.xlsx,5-3-4
evening,2025-12-21,2530.0,"(7, 6, 3)",1 year of data 2025 - 2026.xlsx,7-6-3
evening,2025-12-20,2528.0,"(4, 0, 9)",1 year of data 2025 - 2026.xlsx,4-0-9
evening,2025-12-19,2526.0,"(0, 5, 9)",1 year of data 2025 - 2026.xlsx,0-5-9
evening,2025-12-18,2524.0,"(9, 0, 0)",1 year of data 2025 - 2026.xlsx,9-0-0
evening,2025-12-17,2522.0,"(1, 1, 1)",1 year of data 2025 - 2026.xlsx,1-1-1
evening,2025-12-16,2520.0,"(7, 3, 4)",1 year of data 2025 - 2026.xlsx,7-3-4
evening,2025-12-15,2518.0,"(1, 3, 6)",1 year of data 2025 - 2026.xlsx,1-3-6
evening,2025-12-14,2516.0,"(0, 1, 9)",1 year of data 2025 - 2026.xlsx,0-1-9
evening,2025-12-13,2514.0,"(7, 5, 0)",1 year of data 2025 - 2026.xlsx,7-5-0
evening,2025-12-12,2512.0,"(6, 9, 0)",1 year of data 2025 - 2026.xlsx,6-9-0
evening,2025-12-11,2510.0,"(8, 7, 5)",1 year of data 2025 - 2026.xlsx,8-7-5
evening,2025-12-10,2508.0,"(6, 8, 5)",1 year of data 2025 - 2026.xlsx,6-8-5
evening,2025-12-09,2506.0,"(4, 3, 4)",1 year of data 2025 - 2026.xlsx,4-3-4
evening,2025-12-08,2504.0,"(8, 8, 4)",1 year of data 2025 - 2026.xlsx,8-8-4
evening,2025-12-07,2502.0,"(2, 9, 6)",1 year of data 2025 - 2026.xlsx,2-9-6
evening,2025-12-06,2500.0,"(1, 0, 7)",1 year of data 2025 - 2026.xlsx,1-0-7
evening,2025-12-05,2498.0,"(4, 3, 0)",1 year of data 2025 - 2026.xlsx,4-3-0
evening,2025-12-04,2496.0,"(7, 4, 4)",1 year of data 2025 - 2026.xlsx,7-4-4
evening,2025-12-03,2494.0,"(1, 3, 7)",1 year of data 2025 - 2026.xlsx,1-3-7
evening,2025-12-02,2492.0,"(5, 4, 6)",1 year of data 2025 - 2026.xlsx,5-4-6
evening,2025-12-01,2490.0,"(3, 3, 6)",1 year of data 2025 - 2026.xlsx,3-3-6
evening,2025-11-30,2488.0,"(7, 0, 4)",1 year of data 2025 - 2026.xlsx,7-0-4
evening,2025-11-29,2486.0,"(2, 6, 1)",1 year of data 2025 - 2026.xlsx,2-6-1
evening,2025-11-28,2484.0,"(9, 9, 5)",1 year of data 2025 - 2026.xlsx,9-9-5
evening,2025-11-27,2482.0,"(9, 7, 1)",1 year of data 2025 - 2026.xlsx,9-7-1
evening,2025-11-26,2480.0,"(9, 6, 8)",1 year of data 2025 - 2026.xlsx,9-6-8
evening,2025-11-25,2478.0,"(5, 2, 9)",1 year of data 2025 - 2026.xlsx,5-2-9
evening,2025-11-24,2476.0,"(8, 6, 8)",1 year of data 2025 - 2026.xlsx,8-6-8
evening,2025-11-23,2474.0,"(1, 2, 3)",1 year of data 2025 - 2026.xlsx,1-2-3
evening,2025-11-22,2472.0,"(5, 2, 1)",1 year of data 2025 - 2026.xlsx,5-2-1
evening,2025-11-21,2470.0,"(2, 6, 5)",1 year of data 2025 - 2026.xlsx,2-6-5
evening,2025-11-20,2468.0,"(2, 2, 6)",1 year of data 2025 - 2026.xlsx,2-2-6
evening,2025-11-19,2466.0,"(9, 2, 3)",1 year of data 2025 - 2026.xlsx,9-2-3
evening,2025-11-18,2464.0,"(6, 8, 7)",1 year of data 2025 - 2026.xlsx,6-8-7
evening,2025-11-17,2462.0,"(0, 7, 6)",1 year of data 2025 - 2026.xlsx,0-7-6
evening,2025-11-16,2460.0,"(9, 4, 6)",1 year of data 2025 - 2026.xlsx,9-4-6
evening,2025-11-15,2458.0,"(3, 0, 2)",1 year of data 2025 - 2026.xlsx,3-0-2
evening,2025-11-14,2456.0,"(1, 9, 1)",1 year of data 2025 - 2026.xlsx,1-9-1
evening,2025-11-13,2454.0,"(8, 7, 9)",1 year of data 2025 - 2026.xlsx,8-7-9
evening,2025-11-12,2452.0,"(6, 7, 1)",1 year of data 2025 - 2026.xlsx,6-7-1
evening,2025-11-11,2450.0,"(6, 9, 3)",1 year of data 2025 - 2026.xlsx,6-9-3
evening,2025-11-10,2448.0,"(4, 8, 1)",1 year of data 2025 - 2026.xlsx,4-8-1
evening,2025-11-09,2446.0,"(9, 6, 7)",1 year of data 2025 - 2026.xlsx,9-6-7
evening,2025-11-08,2444.0,"(9, 3, 8)",1 year of data 2025 - 2026.xlsx,9-3-8
